adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,decade
False,/jaO8WurWoUBE55nskqtFqPZFFaO.jpg,"[27, 9648, 878]",1091,en,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,6.5598,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,1982-06-25,The Thing,False,8.072,7570,1980s
False,/74FYuO2hDNmFt4Yz3IQ1ORcp5K9.jpg,"[80, 18, 9648]",2768,en,American Gigolo,"Julian makes a lucrative living as an escort to older women in the Los Angeles area. He begins a relationship with Michelle, a local politician's wife, without expecting any pay. One of his clients is murdered and Detective Sunday begins pumping him for details on his different clients, something he is reluctant to do considering the nature of his work. Julian begins to suspect he's being framed. Meanwhile Michelle begins to fall in love with him.",6.3899,/igXGCwti23PHOjLKQX6eGIGzQiJ.jpg,1980-02-01,American Gigolo,False,6.2,699,1980s
False,/aDn3wL0ObbA5TCn5ZLri9xI2kUZ.jpg,"[80, 18, 10749, 53]",9281,en,Witness,"While protecting an Amish boy – the sole witness to a brutal murder – and his mother, a detective is forced to seek refuge within their community when his own life comes under threat.",6.2781,/kOymD1rChAMykmDVEzJpIh4OYS7.jpg,1985-02-08,Witness,False,7.1,1803,1980s
False,/sbCQ5uuQ9Y4fkWR8NR3x41rvFvF.jpg,"[28, 80, 53]",21610,en,Nighthawks,"When one of Europe's most lethal terrorists shows up in New York, an elite undercover cop is assigned to take him down by any means necessary.",6.2573,/EuWOvbS7GdbXuYhRwFXgUGIRFd.jpg,1981-03-17,Nighthawks,False,6.4,466,1980s
False,/gKzc9XgLqJwSGZliZE5VjuYR6g9.jpg,[27],17898,en,Silver Bullet,"The small city of Tarker's Mills is startled by a series of sadistic murders. The population fears the work of a maniac, but sightings of a mysterious, hairy creature soon spread. People lock themselves up at night, but there's one boy who's still outside…",6.2187,/52CvWYuJyWcMTPvsfcmsxaVHi7f.jpg,1985-10-10,Silver Bullet,False,6.6,661,1980s
False,/n82OZ74V3KBDQKrSVqgVzE8nnjs.jpg,"[16, 10402, 18, 36]",29204,en,American Pop,"The history of American popular music runs parallel with the history of a Russian Jewish immigrant family, with each male descendant possessing different musical abilities.",6.2091,/9SQqCFZH8ziWuGY02DVUgj1YxqU.jpg,1981-02-13,American Pop,False,6.9,115,1980s
False,/f133nWlU6yUkZqqwcCXCbTEJWHr.jpg,"[12, 28]",87,en,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",6.116,/gpdVNUaa4LhRMLfJOPj1AZdhAZ3.jpg,1984-05-23,Indiana Jones and the Temple of Doom,False,7.302,9801,1980s
False,/2TgNJKANT9DPENJZf6GHqqRf0QP.jpg,"[10749, 18]",19114,en,Endless Love,"As their romance unfolds, Jade and David's growing love for one another becomes the scorn of Jade's father. However, when Jade's grades begin to drop, her father forbids the young couple from seeing each other for 30 days. Driven insane with frustration and desire, David attempts to reverse the decision, with catastrophic results.",6.1139,/eAU5kEn3n2PROao46iqs0w57Tqr.jpg,1981-07-17,Endless Love,False,5.7,240,1980s
False,/2IUST8dE4Nfd6zAFppTJh69SNdW.jpg,"[18, 10749]",49370,en,Perfect,"A female aerobics instructor meets a male reporter doing a story on health clubs, but it isn't love at first sight.",6.0379,/tb1jZGi23w2pIittaBBdaN6CGRI.jpg,1985-05-15,Perfect,False,5.619,193,1980s
False,/c6yfABGVKuB5cjoOwdX4AJMlzUz.jpg,"[35, 14]",620,en,Ghostbusters,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",5.8876,/7E8nLijS9AwwUEPu2oFYOVKhdFA.jpg,1984-06-08,Ghostbusters,False,7.5,9438,1980s
False,/kNjnEqsEHNy58m9FgPevxm4wnkk.jpg,"[35, 18, 10402]",36739,en,School Daze,Fraternity and sorority members clash with other students at a historically black college during homecoming weekend.,5.8763,/vnfjKHcmah7ReMxLNF18JMXFgSZ.jpg,1988-02-12,School Daze,False,5.651,109,1980s
False,/hPIcRAdwsIb3UhHJ3RuyCcDL4qK.jpg,"[18, 10402, 10749]",42121,en,Tender Mercies,Alchoholic former country singer Mac Sledge makes friends with a young widow and her son. The friendship enables him to find inspiration to resume his career.,5.8073,/fBP6uK0K4EnV8dtt4SJQrMdX0wb.jpg,1983-03-04,Tender Mercies,False,6.7,143,1980s
False,/hLmWC3yKPye34MA8HFrqUalEsse.jpg,"[80, 18]",22023,en,The Border,A corrupted border agent decides to clean up his act when an impoverished woman's baby is put up for sale on the black market.,5.7826,/73yotjKSU8QCxlhoPm1hATrFHvT.jpg,1982-01-29,The Border,False,6.1,138,1980s
